0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43
-0.023908706,0.0053969314,-0.04067621,0.07027798,0.013573744,0.10960479,-0.03826805,0.0014998976,0.017137786,0.017094899,-0.13214141,0.022004152,-0.0685788,-0.05489572,0.017274255,-0.012399219,0.06857889,-0.037697602,-0.10635963,-0.036022775,-0.067685924,-0.010494614,-0.030772207,-0.07889795,-0.045238182,0.014512433,-0.023065796,0.06960681,-0.07390211,0.0041108932,0.058517586,0.032281414,0.05236887,-0.00994432,0.13406055,0.021751873,-0.08949186,-0.10678982,-0.022206627,0.023034463,0.075268276,-0.034156293,-0.19170651,0.027484534
-0.017009275,-0.026231041,-0.04757419,0.06749088,0.0019878347,0.083210275,-0.05992031,0.00039935482,-0.0155089535,0.012293651,-0.08921529,0.028856512,-0.06419616,-0.06433249,-0.016676862,-0.021357713,0.047625836,-0.02389895,-0.12561414,-0.009667228,-0.09116191,-0.050218847,0.008881629,-0.089221515,-0.07881494,-0.02852698,0.017679749,0.072364606,-0.07115344,-0.008272521,0.09363971,0.027683873,0.031111222,0.013798684,0.13565351,-0.0046863398,-0.07815191,-0.12697385,-0.060331073,0.029844979,0.08113502,-0.04849296,-0.20222901,-0.0069762156
-0.044434063,0.0591289,0.0051734173,0.04211554,0.04467929,0.03800089,-0.07098984,-0.01268263,0.037216526,0.024939572,-0.07185712,-0.01954685,-0.061839227,-0.06601446,0.024949998,0.017109146,0.13734739,0.001229467,-0.09744168,-0.031603567,-0.043699898,-0.05019433,-0.025247313,-0.050625775,-0.009267389,0.022782871,0.008133217,-0.005159679,-0.05888991,-0.0013609753,0.018555231,0.0072542015,0.008547577,0.010952288,0.10140319,0.020131074,-0.066587806,-0.06503309,-0.015570229,0.028838532,0.08912225,-0.02448861,-0.148023,0.040121723
-0.06449259,-0.014869406,-0.052617084,0.08480629,-0.006893749,0.0967959,-0.04694778,0.07315724,-0.016942158,0.0016179592,-0.10503898,0.036916714,-0.09694553,-0.032996647,-0.017290486,-0.01838406,0.09654735,0.017047,-0.08636999,-0.038128793,-0.09416568,-0.013156624,-0.022421895,-0.07221807,-0.07474871,-0.042588886,-2.3778528e-05,0.091545455,-0.07947912,0.014823937,0.06719362,0.05449331,0.030208733,0.036046844,0.16276455,-0.024761356,-0.06994395,-0.12251143,-0.013088113,0.030673694,0.07189583,0.003648505,-0.18405944,-0.0061270646
-0.049270425,0.0066613047,-0.051183738,0.06477674,-0.03092162,0.110684976,-0.080191955,0.054782357,-0.00015680026,0.023324149,-0.06890916,0.016717985,-0.067168616,-0.037432004,-0.031518776,0.02645538,0.10726304,-0.031438496,-0.09583434,-0.073379144,-0.055317685,-0.04772866,-0.018327512,-0.042774923,-0.053574264,-0.015958909,-0.011503338,0.0582135,-0.104238816,-0.048832007,0.10374381,0.029155632,0.017774025,0.011813698,0.15535612,-0.016275238,-0.09170313,-0.11800465,-0.03388704,0.036413386,0.066115275,-0.027762845,-0.16770981,0.008436815
-0.036259416,0.05523384,-0.013061633,0.057513375,-0.009193698,0.06285012,-0.037200764,0.0022002796,0.0076034586,0.058916774,-0.09482297,0.020863239,-0.06443854,-0.05063177,0.014545563,-0.00810432,0.059401948,-0.022089826,-0.08877241,-0.027789263,-0.047519978,-0.07084917,-0.00719828,-0.08407043,-0.012738358,0.017324653,-0.00016124547,0.03588539,-0.04946782,-0.02762523,0.06383389,0.046499178,0.058509067,-0.019890537,0.13838637,0.029240176,-0.09342574,-0.12727831,-0.010928361,0.022428768,0.07624732,-0.042511307,-0.19943374,-0.017129645
-0.019661846,0.00065119134,-0.008214949,0.027959468,-0.012201989,0.059220195,-0.05113272,0.037186787,-0.003823231,0.01771909,-0.09590595,0.019429645,-0.03563686,-0.024576206,-0.022384152,-0.005646037,0.059810027,0.012866155,-0.048275378,-0.05919854,-0.055961255,-0.024299048,-0.013919034,-0.05122607,-0.04318789,-0.028605152,-0.0070387917,0.03204399,-0.036244288,-0.02997254,0.06123453,0.012987535,0.039355397,0.021492455,0.09823286,-0.017566329,-0.037213,-0.06331788,-0.032137673,0.026296394,0.06494307,-0.0036465123,-0.14806719,-0.007988663
-0.028630756,0.021540774,-0.024792138,0.07291203,0.005703827,0.067080885,-0.066711165,0.016822318,-0.012182582,-0.022984419,-0.0865192,0.03135466,-0.04736691,-0.051432583,-0.032238513,0.0022749577,0.06926462,-0.04185166,-0.10304476,-0.061544087,-0.069330014,-0.059855577,-0.03182179,-0.07929187,-0.043542974,-0.028301641,-0.010688755,0.05204603,-0.037078407,-0.012916844,0.081683554,0.035361055,0.04831807,0.0004947632,0.124784805,-0.03345296,-0.08763405,-0.13696712,-0.00095097785,0.05913406,0.12606995,-0.05812861,-0.18482871,0.008627089
-0.037568145,0.008280882,-0.057539996,0.081630416,-0.029194513,0.09920634,-0.040580574,0.0440668,0.0068526287,-0.010622258,-0.095899634,0.042672325,-0.08271972,-0.04793598,-0.03732129,-0.019690024,0.098141395,-0.039284144,-0.100806534,-0.067702204,-0.09781416,0.0016933403,-0.015231223,-0.04958008,-0.04462809,-0.02505936,-0.013687367,0.07866816,-0.06664366,-0.009511006,0.07987671,0.079492114,0.056035593,0.02845693,0.12508604,-0.04017521,-0.063373975,-0.13035198,-0.059877917,-0.021337451,0.045788012,-0.028238311,-0.19016463,0.012140787
-0.013087736,0.050646544,-0.01590738,0.05434427,0.020138178,0.073520474,-0.06713904,-0.0018947959,0.028129345,-0.005508695,-0.09584863,0.02848903,-0.07819484,-0.0767562,-0.0006392141,0.0026993924,0.101469986,-0.0065335715,-0.080403484,-0.032774158,-0.07324092,-0.010900915,-0.0621649,-0.03279242,-0.045963895,0.031390425,0.009811303,-0.006413189,-0.053061858,-0.034901787,0.079714745,0.024900917,0.011772494,-0.042121205,0.10055087,-0.018860912,-0.06430619,-0.104117505,-0.037539706,0.06397883,0.06828608,-0.019488249,-0.18209614,0.047369994
